,CREDEM_VITA,AXA,CREDIT_AGRICOLE,REALE_MUTUA,CARDIF,MEDIOLANUM,GENERALI_ITALIA,BMP_VITA,HDI,POSTE_VITA,INTESA_VITA,CNP_VITA,ITAS_VITA,HELVATIA_VITA,VITTORIA,GROUPAMA,ALLIANZ_UNICREDIT,ZURICH_LIFE
,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010,C0010
R0030, -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
R0040, 614 ," 68,360,009 ", -   ," 146,930 ", -   ," 25,330 "," 59,118 "," 7,194 "," 41,080 "," 1,659,986 "," 46,176 ", -   ," 83,043,046 "," 10,244 "," 128,367 "," 15,334 ", -   , -   
R0050, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
R0060, 768 ," 7,554,766 "," 51,352 "," 80,998 ", 62.98 ," 12,927 "," 381,963 "," 3,292 "," 50,147 "," 25,718 "," 3,928 "," 3,242 "," 31,198 "," 43,408 "," 135,682 "," 44,056 "," 1,330 "," 3,780 "
R0070," 5,155,576 "," 13,582,282,224 "," 16,856,446 "," 10,220,770 "," 18,748,321.33 "," 3,384,299 "," 85,377,106 "," 5,814,049 "," 5,485,469 "," 145,553,398 "," 7,555,331 "," 18,123,968 "," 2,903,010,811 "," 2,650,353 "," 4,433,979 "," 3,780,211 "," 8,664,295 "," 4,275,590 "
R0080, -   ," 39,000 "," 5,408 "," 58,894 ", -   ," 58,771 "," 1,568,426 ", -   ," 44,506 ", -   , -   , -   ," 6,084,789 "," 1,705 "," 90,963 "," 13,312 ", -   , -   
R0090, -   ," 199,634,278 "," 222,471 "," 3,038,155 ", -   , -   ," 17,561,053 "," 560,219 "," 137,335 "," 211,843 ", -   , -   , -   , -   ," 373,161 "," 4,973 ", -   , -   
R0100, -   ," 145,354,854 "," 472,889 "," 135,955 "," 223,188.27 "," 91,350 "," 4,034,485 "," 148,776 "," 5,904 "," 370,047 "," 146,433 "," 120,798 "," 24,660,078 "," 19,287 "," 159,424 "," 4,072 "," 68,726 "," 214,090 "
R0110, -   ," 92,247,429 "," 472,743 "," 22,312 "," 155,342.64 "," 90,789 "," 758,341 "," 148,776 "," 3,730 "," 365,049 "," 146,280 "," 107,532 "," 24,659,838 "," 19,287 "," 55,061 "," 2,601 "," 17,449 "," 214,090 "
R0120, -   ," 53,107,426 ", 146 ," 113,643 "," 67,845.64 ", 560 ," 3,276,144 ", -   ," 2,174 "," 4,998 ", 153 ," 13,266 ", 240 , -   ," 104,363 "," 1,471 "," 51,277 ", -   
R0130," 4,494,116 "," 11,249,079,343 "," 14,050,347 "," 6,648,854 "," 15,228,582.12 "," 3,148,251 "," 52,861,571 "," 4,238,180 "," 5,016,257 "," 112,021,817 "," 6,615,114 "," 15,864,448 "," 2,450,125,452 "," 2,409,262 "," 2,861,600 "," 2,996,401 "," 8,371,839 "," 3,435,231 "
R0140," 3,564,788 "," 6,132,009,113 "," 10,151,361 "," 4,427,132 "," 10,105,504.54 "," 2,888,943 "," 30,003,829 "," 4,238,180 "," 3,401,974 "," 90,338,926 "," 4,820,690 "," 9,998,673 "," 2,089,852,936 "," 1,780,841 "," 2,313,159 "," 1,382,614 "," 4,739,615 "," 2,277,547 "
R0150," 929,329 "," 4,259,166,355 "," 3,898,986 "," 2,088,084 "," 4,263,475.14 "," 211,928 "," 18,148,843 ", -   ," 1,610,473 "," 21,636,614 "," 1,324,183 "," 4,624,706 "," 256,671,271 "," 628,421 "," 548,440 "," 1,604,428 "," 3,632,224 "," 1,114,473 "
R0160, -   , -   , -   ," 7,728 "," 859,602.44 "," 47,380 "," 4,521,325 ", -   , -   ," 46,277 "," 470,240 "," 1,228,558 "," 103,601,245 ", -   , -   ," 9,359 ", -   ," 43,211 "
R0170, -   ," 857,903,875 ", -   ," 125,910 ", -   , -   ," 187,573 ", -   ," 3,811 ", -   , -   ," 12,511 ", -   , -   , -   , -   , -   , -   
R0180," 661,459 "," 1,967,108,405 "," 2,105,147 "," 338,091 "," 3,290,738.03 "," 61,503 "," 9,290,736 "," 866,873 "," 281,467 "," 32,948,891 "," 791,834 "," 2,138,710 "," 422,140,492 "," 220,099 "," 948,831 "," 761,453 "," 223,531 "," 626,269 "
R0190, -   ," 21,066,344 ", 183 , -   ," 5,812.90 ", 56 ," 60,836 ", -   , -   , -   ," 1,951 ", 12 , -   , -   , -   , -   , 199 , -   
R0200, -   , -   , -   , 821 , -   ," 24,368 ", -   , -   , -   , 801 , -   , -   , -   , -   , -   , -   , -   , -   
R0210, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
