CODE,DESCRIPTION,C0010
R0510,ZTR – Neživljenjska zavarovanja,269.585
R0520,ZTR – Neživljenjska zavarovanja (brez zdravstvenih zavarovanj),253.583
R0530,"Zavarovalno-tehnične rezervacije, izračunane kot celota",0
R0540,Najboljša ocena,244.584
R0550,Dodatek za tveganje,8.998
R0560,ZTR – Zdravstvena zavarovanja (podobna neživljenjskim),16.002
R0570,"Zavarovalno-tehnične rezervacije, izračunane kot celota",0
R0580,Najboljša ocena,15.381
R0590,Dodatek za tveganje,621
R0600,"ZTR – Življenjska zavarovanja (razen zavarovanj, vezanih na indeks ali enoto premoženja)",111.451
R0610,ZTR – Zdravstvena zavarovanja (podobna življenjskim),506
R0620,"Zavarovalno-tehnične rezervacije, izračunane kot celota",0
R0630,Najboljša ocena,417
R0640,Dodatek za tveganje,89
R0650,"ZTR – Življenjska zavarovanja (razen zdravstvenih zavarovanj in zavarovanj, vezanih na indeks ali enoto premoženja)",110.945
R0660,"Zavarovalno-tehnične rezervacije, izračunane kot celota",0
R0670,Najboljša ocena,98.449
R0680,Dodatek za tveganje,12.496
R0690,"ZTR – Zavarovanja, vezana na indeks ali enoto premoženja",442.096
R0700,"Zavarovalno-tehnične rezervacije, izračunane kot celota",0
R0710,Najboljša ocena,412.185
R0720,Dodatek za tveganje,29.911
R0740,Pogojne obveznosti,136
R0750,"Rezervacije, razen zavarovalno-tehničnih rezervacij",0
R0760,Obveznosti iz naslova pokojninskih shem,0
R0770,Depoziti pozavarovateljev,999
R0780,Odložene obveznosti za davek,6.362
R0790,Izvedeni finančni instrumenti,0
R0800,"Zneski, dolgovani kreditnim institucijam",0
R0810,"Finančne obveznosti, razen zneskov, dolgovanih kreditnim institucijam",4.768
R0820,Obveznosti iz naslova zavarovanja in obveznosti do posrednikov,14.196
R0830,Obveznosti iz naslova pozavarovanja,12.428
R0840,"Obveznosti (do kupcev, nepovezane z zavarovanjem)",36.973
R0850,Podrejene obveznosti,31.306
R0860,"Podrejene obveznosti, ki niso del osnovnih lastnih sredstev",0
R0870,"Podrejene obveznosti, ki so del osnovnih lastnih sredstev",31.306
R0880,"Vse druge obveznosti, ki niso prikazane drugje",19.192
R0900,Obveznosti skupaj,949.491
R1000,Presežek sredstev nad obveznostmi,266.432
