CODE,DESCRIPTION,C0010
R0030,PRILOGE: Letne predloge za poročanje (QRT's) Priloga 1: S.02.01.02 Bilanca stanja (v 000 EUR)  Vrednost po Solventnosti II Sredstva C0010 Neopredmetena sredstva,0.0
R0040,Odložene terjatve za davek,20354.71
R0050,Presežek iz naslova pokojninskih shem,0.0
R0060,Opredmetena osnovna sredstva v posesti za lastno uporabo,1788.0
R0070,"Naložbe (razen sredstev v posesti v zvezi s pogodbami, vezanimi na indeks ali enoto premoženja)",731048.27
R0080,Nepremičnine (razen za lastno uporabo),0.0
R0090,"Deleži v povezanih podjetjih, vključno z udeležbami",58863.54
R0100,Lastniški vrednostni papirji,100654.7
R0110,"Lastniški vrednostni papirji, ki kotirajo na borzi",99140.97
R0120,"Lastniški vrednostni papirji, ki ne kotirajo na borzi",1513.73
R0130,Obveznice,463741.46
R0140,Državne obveznice,303477.09
R0150,Podjetniške obveznice,159724.74
R0160,Strukturirani vrednostni papirji,539.63
R0170,"Vrednostni papirji, zavarovani s premoženjem",0.0
R0180,Kolektivni naložbeni podjemi,104334.42
R0190,Izvedeni finančni instrumenti,0.0
R0200,"Depoziti, ki niso denarni ustrezniki",3454.15
R0210,Druge naložbe,0.0
R0220,"Sredstva v posesti v zvezi s pogodbami, vezanimi na indeks ali enoto premoženja",0.0
R0230,Krediti in hipoteke,82675.06
R0240,"Posojila, vezana na police",0.0
R0250,Krediti in hipoteke posameznikom,82675.06
R0260,Drugi krediti in hipoteke,0.0
R0270,Izterljivi zneski iz pozavarovanj iz naslova:,0.0
R0280,"neživljenjskih zavarovanj in zdravstvenih zavarovanj, podobnih neživljenjskim",0.0
R0290,neživljenjskih zavarovanj brez zdravstvenih zavarovanj,0.0
R0300,"zdravstvenih zavarovanj, podobnih neživljenjskim",0.0
R0310,"življenjskih zavarovanj in zdravstvenih zavarovanj, podobnih življenjskim, razen zdravstvenih zavarovanj in zavarovanj, vezanih na indeks ali enoto premoženja",0.0
