CODE,DESCRIPTION,C0010
R0040,Odložene terjatve za davek,15.095
R0050,Presežek iz naslova pokojninskih shem,
R0060,Opredmetena osnovna sredstva v posesti za lastno uporabo,84.878
R0070,"Naložbe (razen sredstev v posesti v zvezi s pogodbami, vezanimi na indeks ali enoto premoženja)",2.193 .373
R0080,Nepremičnine (razen za lastno uporabo),59.450
R0090,"Deleži v povezanih podjetjih, vključno z udeležbami",516.941
R0100,Lastniški vrednostni papirji,7.621
R0110,"Lastniški vrednostni papirji, ki kotirajo na borzi",2.779
R0120,"Lastniški vrednostni papirji, ki ne kotirajo na borzi",4.841
R0130,Obveznice,1.456 .791
R0140,Državne obveznice,998.784
R0150,Podjetniške obveznice,456.959
R0160,Strukturirani vrednostni papirji,1.048
R0170,"Vrednostni papirji, zavarovani s premoženjem",0
R0180,Kolektivni naložbeni podjemi,145.318
R0190,Izvedeni finančni instrumenti,20
R0200,"Depoziti, ki niso denarni ustrezniki",7.152
R0210,Druge naložbe,81
R0220,"Sredstva v posesti v zvezi s pogodbami, vezanimi na indeks ali enoto premoženja",938.881
R0230,Krediti in hipoteke,5.189
R0240,"Posojila, vezana na police",3.657
R0250,Krediti in hipoteke posameznikom,
R0260,Drugi krediti in hipoteke,1.532
R0270,Izterljivi zneski iz pozavarovanj iz naslova:,169.773
R0280,"neživljenjskih zavarovanj in zdravstvenih zavarovanj, podobnih neživljenjskim",163.932
R0290,neživljenjskih zavarovanj brez zdravstvenih zavarovanj,161.358
R0300,"zdravstvenih zavarovanj, podobnih neživljenjskim",2.574
R0310,"življenjskih zavarovanj in zdravstvenih zavarovanj, podobnih življenjskim, razen zdravstvenih zavarovanj in zavarovanj, vezanih na indeks ali enoto premoženja",5.841
R0320,"zdravstvenih zavarovanj, podobnih življenjskim",2
R0330,"življenjskih zavarovanj, razen zdravstvenih zavarovanj in zavarovanj, vezanih na indeks ali enoto premoženja",5.839
R0340,"življenjskih zavarovanj, vezanih na indeks ali enoto premoženja",
R0350,Depoziti pri cedentih,16
R0360,Terjatve iz naslova zavarovanj in terjatve do posrednikov,24.508
R0370,Terjatve iz naslova pozavarovanj,37.477
R0380,"Terjatve (do kupcev, nepovezane z zavarovanjem)",28.068
R0390,Lastne delnice (v posesti neposredno),
R0400,"Zneski, dolgovani podjetju v zvezi s postavkami lastnih sredstev ali ustanovnim kapitalom, ki je bil vpoklican in še ni vplačan",
R0410,Denar in denarni ustrezniki,15.194
R0420,"Vsa druga sredstva, ki niso prikazana drugje",3.622
R0500,Sredstva skupaj,3.516 .075
