id,company,document_name,table_name,page_number,output_pdf_path,output_final_path,codes_path,leto
CREDEM_VITA_02_1,CREDEM,Input\SFCR 2024 CREDEMVITA.pdf,S.02.01.02_A,197,Single_pdf/CREDEM_S02_01_02_1_2024.pdf,Output/CREDEM_S02_01_02_1_2024.csv,,2024
CREDEM_VITA_02_2,CREDEM,Input\SFCR 2024 CREDEMVITA.pdf,S.02.01.02_L,198,Single_pdf/CREDEM_S02_01_02_2_2024.pdf,Output/CREDEM_S02_01_02_2_2024.csv,,2024
AXA_VITA_02_01,AXA,Input\2024.12 QRT SFCR AXA MPS Assicurazioni Vita.pdf,S.02.01.02_A,1,Single_pdf/AXA_S02_01_02_1_2024.pdf,Output/AXA_S02_01_02_1_2024.csv,,2024
CREDAG_VITA_02_01,CREDIT_AGRICOLE,Input\ca_vita_sfcr_2024.pdf,S.02.01.02_A,61,Single_pdf/CA_S02_01_02_1_2024.pdf,Output/CA_S02_01_02_1_2024.csv,,2024
CREDAG_VITA_02_02,CREDIT_AGRICOLE,Input\ca_vita_sfcr_2024.pdf,S.02.01.02_L,62,Single_pdf/CA_S02_01_02_2_2024.pdf,Output/CA_S02_01_02_2_2024.csv,,2024
REALE_02_01,REALE_MUTUA,Input\SFCR_A123S_20241231.pdf,S.02.01.02_A,158,Single_pdf/RM_S02_01_02_1_2024.pdf,Output/RM_S02_01_02_1_2024.csv,,2024
REALE_02_02,REALE_MUTUA,Input\SFCR_A123S_20241231.pdf,S.02.01.02_L,159,Single_pdf/RM_S02_01_02_2_2024.pdf,Output/RM_S02_01_02_2_2024.csv,,2024
CARDIF_02_01,CARDIF,Input\SFCR_A421S_20241231.pdf,S.02.01.02_A,106,Single_pdf/CARDIF_S02_01_02_1_2024.pdf,Output/CARDIF_S02_01_02_1_2024.csv,,2024
MEDIO_02_01,MEDIOLANUM,Input\Mediolanum_Vita_Relazione_Unica_2024.pdf,S.02.01.02_A,164,Single_pdf/MEDIO_S02_01_02_1_2024.pdf,Output/MEDIO_S02_01_02_1_2024.csv,,2024
MEDIO_02_02,MEDIOLANUM,Input\Mediolanum_Vita_Relazione_Unica_2024.pdf,S.02.01.02_L,165,Single_pdf/MEDIO_S02_01_02_2_2024.pdf,Output/MEDIO_S02_01_02_2_2024.csv,,2024
GEN_ITA_02_01,GENERALI ITALIA,Input\2024 Relazione sulla Solvibilita e Condizione Finanziaria Generali Italia.pdf,S.02.01.02_A,144,Single_pdf/GEN_ITA_S02_01_02_1_2024.pdf,Output/GEN_ITA_S02_01_02_1_2024.csv,,2024
GEN_ITA_02_02,GENERALI ITALIA,Input\2024 Relazione sulla Solvibilita e Condizione Finanziaria Generali Italia.pdf,S.02.01.02_L,145,Single_pdf/GEN_ITA_S02_01_02_2_2024.pdf,Output/GEN_ITA_S02_01_02_2_2024.csv,,2024
BMP_VITA_02_01,BMP VITA,Input\Fascicolo-SFCR_2024_BBPMV-signed_con-opinion.pdf,S.02.01.02_A,80,Single_pdf/BMP_VITA_S02_01_02_1_2024.pdf,Output/BMP_VITA_S02_01_02_1_2024.csv,,2024
BMP_VITA_02_02,BMP VITA,Input\Fascicolo-SFCR_2024_BBPMV-signed_con-opinion.pdf,S.02.01.02_L,81,Single_pdf/BMP_VITA_S02_01_02_2_2024.pdf,Output/BMP_VITA_S02_01_02_2_2024.csv,,2024
HDI_01,HDI,Input\HDI Assicurazioni S.p.A. - Avviso pubblicazione SFCR - IT.pdf,S.02.01.02_A,104,Single_pdf/HDI_S02_01_02_1_2024.pdf,Output/HDI_S02_01_02_1_2024.csv,,2024
HDI_02,HDI,Input\HDI Assicurazioni S.p.A. - Avviso pubblicazione SFCR - IT.pdf,S.02.01.02_L,105,Single_pdf/HDI_S02_01_02_2_2024.pdf,Output/HDI_S02_01_02_2_2024.csv,,2024
POSTE_VITA_01,POSTE_VITA,Input\relazioneunicasolvibilita_condizionefinanziaria_31122024.pdf,S.02.01.02_A,136,Single_pdf/POSTE_VITA_S02_01_02_1_2024.pdf,Output/POSTE_VITA_S02_01_02_1_2024.csv,,2024
POSTE_VITA_02,POSTE_VITA,Input\relazioneunicasolvibilita_condizionefinanziaria_31122024.pdf,S.02.01.02_L,137,Single_pdf/POSTE_VITA_S02_01_02_2_2024.pdf,Output/POSTE_VITA_S02_01_02_2_2024.csv,,2024
INTESA_VITA_01,INTESA_VITA,Input\SFCR Gruppo ISPA 2024_ENG.pdf,S.02.01.02_A,250,Single_pdf/INTESA_VITA_S02_01_02_1_2024.pdf,Output/INTESA_VITA_S02_01_02_1_2024.csv,,2024
INTESA_VITA_02,INTESA_VITA,Input\SFCR Gruppo ISPA 2024_ENG.pdf,S.02.01.02_L,251,Single_pdf/INTESA_VITA_S02_01_02_2_2024.pdf,Output/INTESA_VITA_S02_01_02_2_2024.csv,,2024
CNP_VITA_01,CNP_VITA,Input\SFCR_2024_CNP_Vita_Assicura_con_Relazione.pdf,S.02.01.02_A,116,Single_pdf/CNP_VITA_S02_01_02_1_2024.pdf,Output/CNP_VITA_S02_01_02_1_2024.csv,,2024
CNP_VITA_02,CNP_VITA,Input\SFCR_2024_CNP_Vita_Assicura_con_Relazione.pdf,S.02.01.02_L,117,Single_pdf/CNP_VITA_S02_01_02_2_2024.pdf,Output/CNP_VITA_S02_01_02_2_2024.csv,,2024
ITAS_VITA_01,ITAS_VITA,Input\SFCR_G0010_20241231.pdf,S.02.01.02_A,233,Single_pdf/ITAS_VITA_S02_01_02_1_2024.pdf,Output/ITAS_VITA_S02_01_02_1_2024.csv,,2024
ITAS_VITA_02,ITAS_VITA,Input\SFCR_G0010_20241231.pdf,S.02.01.02_L,234,Single_pdf/ITAS_VITA_S02_01_02_2_2024.pdf,Output/ITAS_VITA_S02_01_02_2_2024.csv,,2024
HELVETIA_VITA_01,HELVETIA_VITA,Input\SFCR_Annex_Helvetia Vita_2024.pdf,S.02.01.02_A,2,Single_pdf/HELVETIA_VITA_S02_01_02_1_2024.pdf,Output/HELVETIA_VITA_S02_01_02_1_2024.csv,,2024
HELVETIA_VITA_02,HELVETIA_VITA,Input\SFCR_Annex_Helvetia Vita_2024.pdf,S.02.01.02_L,3,Single_pdf/HELVETIA_VITA_S02_01_02_2_2024.pdf,Output/HELVETIA_VITA_S02_01_02_2_2024.csv,,2024
VITTORIA_01,VITTORIA,Input\SFCR-2024_Vittoria.pdf,S.02.01.02_A,93,Single_pdf/VITTORIA_S02_01_02_1_2024.pdf,Output/VITTORIA_S02_01_02_1_2024.csv,,2024
VITTORIA_02,VITTORIA,Input\SFCR-2024_Vittoria.pdf,S.02.01.02_L,94,Single_pdf/VITTORIA_S02_01_02_2_2024.pdf,Output/VITTORIA_S02_01_02_2_2024.csv,,2024
GROUPAMA_01,GROUPAMA,Input\SFCR-2024-Relazione-solvibilita-condizione-finanziaria-Groupama-Assicurazioni.pdf,S.02.01.02_A,71,Single_pdf/GROUPAMA_S02_01_02_1_2024.pdf,Output/GROUPAMA_S02_01_02_1_2024.csv,,2024
ALLIANZ_UNICREDIT_01,ALLIANZ_UNICREDIT,Input\UAV_Fascicolo_SFCR_2024_con_relazioni_PwC.pdf,S.02.01.02_A,110,Single_pdf/ALLIANZ_UNICREDIT_S02_01_02_1_2024.pdf,Output/ALLIANZ_UNICREDIT_S02_01_02_1_2024.csv,,2024
ALLIANZ_UNICREDIT_02,ALLIANZ_UNICREDIT,Input\UAV_Fascicolo_SFCR_2024_con_relazioni_PwC.pdf,S.02.01.02_L,111,Single_pdf/ALLIANZ_UNICREDIT_S02_01_02_2_2024.pdf,Output/ALLIANZ_UNICREDIT_S02_01_02_2_2024.csv,,2024
ZURICH_LIFE_01,ZURICH_LIFE,Input\zil_scfr_2024_web.pdf,S.02.01.02_A,58,Single_pdf/ZURICH_LIFE_S02_01_02_1_2024.pdf,Output/ZURICH_LIFE_S02_01_02_1_2024.csv,,2024
ZURICH_LIFE_02,ZURICH_LIFE,Input\zil_scfr_2024_web.pdf,S.02.01.02_L,59,Single_pdf/ZURICH_LIFE_S02_01_02_2_2024.pdf,Output/ZURICH_LIFE_S02_01_02_2_2024.csv,,2024
